plot_label	site	elevation	long_dd	lat_dd	X_UTM	Y_UTM	type	dim	area	no_subpl	date1	authors1	date2	authors2	comments	dbh10_inv1	sp_dbh10_inv1	fam_dbh10_inv1	indet_dbh10_inv1	dbh10_inv2	sp_dbh10_inv2	fam_dbh10_inv2	indet_dbh10_inv2	dbh2_10_inv1	sp_dbh2_10_inv1	fam_dbh2_10_inv1	indet_dbh2_10_inv1	dbh2-10_inv2	sp_dbh2_10_inv2	fam_dbh2_10_inv2	indet_dbh2_10_inv2
VF13	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	30x60	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	91	49	21	4	0	0	0	0	0	0	0	0	0	0	0	0
VF14	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	40x40	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	119	59	26	2	0	0	0	0	0	0	0	0	0	0	0	0
VF16	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	40x30	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	125	50	21	0	0	0	0	0	0	0	0	0	0	0	0	0
VF17	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	40x30	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	113	58	25	3	0	0	0	0	0	0	0	0	0	0	0	0
VF18	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	40x30	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	105	54	23	6	0	0	0	0	0	0	0	0	0	0	0	0
VF19A	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	30x40	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	110	55	21	0	0	0	0	0	0	0	0	0	0	0	0	0
VF20	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	30x50	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	78	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0
VF21	Forêt de Counami	40	-53.23	5.35	252869.00	591802.00	full	50x30	0.12	12	2002	Daniel Sabatier, with Vincent Freycon			Terra firme	104	53	22	0	0	0	0	0	0	0	0	0	0	0	0	0
WAK1	Haute Waki	160	-53.40	3.08	233133.00	340752.00	full	100x100	1.00	100	2014	Daniel Sabatier, with Jean-Louis Smock & Chantal Geniez			Terra firme	465	92	33	20	0	0	0	0	0	0	0	0	0	0	0	0
WAK3	Haute Waki	160	-53.40	3.08	233133.00	340752.00	full	50x100	0.50	50	2014	Daniel Sabatier, with Jean-Louis Smock & Chantal Geniez			Terra firme	256	49	26	28	0	0	0	0	0	0	0	0	0	0	0	0
WAK4	Haute Waki	160	-53.40	3.08	233133.00	340752.00	full	50x100	0.50	50	2014	Daniel Sabatier, with Jean-Louis Smock & Chantal Geniez			Terra firme	262	71	30	20	0	0	0	0	0	0	0	0	0	0	0	0
WAN1	Inselbergs de la Haute Wanapi	200	-53.81	2.51	186605.00	277921.00	full	100x100	1.00	100	2007	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	406	105	35	0	0	0	0	0	0	0	0	0	0	0	0	0
WAN2	Inselbergs de la Haute Wanapi	200	-53.82	2.51	185737.00	278039.00	full	100x100	1.00	100	2007	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	461	124	34	1	0	0	0	0	0	0	0	0	0	0	0	0
WAN3	Inselbergs de la Haute Wanapi	200	-53.82	2.51	185750.00	278633.00	full	100x100	1.00	100	2007	Daniel Sabatier & Jean-François Molino, with Jean-Louis Smock, Michel Tarcy & Julien Engel			Terra firme	421	95	29	0	0	0	0	0	0	0	0	0	0	0	0	0
